pclass,survived,sex,age,fare,embarked
1,1,0,30,133.65,S
1,1,0,22,49.5,C
1,1,1,60,79.2,C
1,1,0,48,79.2,C
1,0,1,30,0.0,S
1,0,1,37,53.1,S
1,1,0,35,53.1,S
1,0,1,47,38.5,S
1,1,0,35,211.5,C
1,1,0,22,59.4,C
1,1,0,45,59.4,C
1,0,1,24,79.2,C
1,1,1,49,89.1,C
1,1,0,30,89.1,C
1,0,1,71,34.65,C
1,1,1,53,28.5,C
1,1,0,19,30.0,S
1,0,1,38,153.46,S
1,1,0,58,153.46,S
1,1,1,23,63.36,C
1,1,0,45,63.36,C
1,0,1,46,79.2,C
1,1,1,25,55.44,C
1,1,0,25,55.44,C
1,1,1,48,76.73,C
1,1,0,49,76.73,C
1,0,1,30,42.4,S
1,0,1,45,83.48,S
1,1,0,35,83.48,S
1,0,1,40,0.0,S
1,1,1,27,76.73,C
1,1,1,30,30.0,S
1,1,0,24,83.16,C
1,0,1,55,93.5,S
1,1,0,52,93.5,S
1,0,1,42,42.5,S
1,0,1,30,51.86,S
1,0,1,55,50.0,S
1,1,0,16,57.98,C
1,1,0,44,57.98,C
1,1,0,51,77.96,S
1,0,1,42,52.0,S
1,1,0,35,52.0,S
1,1,1,35,26.55,C
1,1,1,38,90.0,S
1,0,1,30,30.7,C
1,1,0,35,90.0,S
1,1,0,38,80.0,S
1,0,0,50,28.71,C
1,1,1,49,0.0,S
1,0,1,46,26.0,S
1,0,1,50,26.0,S
1,0,1,32,211.5,C
1,0,1,58,29.7,C
1,0,1,41,51.86,S
1,1,0,30,51.86,S
1,1,1,42,52.55,S
1,1,0,45,52.55,S
1,0,1,30,26.55,S
1,1,0,39,211.34,S
1,1,0,49,25.93,S
1,1,0,30,106.42,C
1,1,1,35,512.33,C
1,0,1,30,27.72,C
1,0,1,42,26.55,S
1,1,0,55,27.72,C
1,1,0,16,39.4,S
1,1,0,51,39.4,S
1,0,1,29,30.0,S
1,1,0,21,77.96,S
1,0,1,30,45.5,S
1,1,0,58,146.52,C
1,1,0,15,211.34,S
1,0,1,30,26.0,S
1,1,0,16,86.5,S
1,1,1,30,29.7,C
1,0,1,19,53.1,S
1,1,0,18,53.1,S
1,1,0,24,49.5,C
1,0,1,46,75.24,C
1,0,1,54,51.86,S
1,1,1,36,26.29,S
1,0,1,28,82.17,C
1,1,0,30,82.17,C
1,0,1,65,26.55,S
1,0,1,44,90.0,Q
1,1,0,33,90.0,Q
1,1,0,37,90.0,Q
1,1,1,30,57.75,C
1,0,1,55,30.5,S
1,0,1,47,42.4,S
1,0,1,37,29.7,C
1,1,0,31,113.28,C
1,1,0,23,113.28,C
1,0,1,58,113.28,C
1,1,0,19,26.28,S
1,0,1,64,26.0,S
1,1,0,39,108.9,C
1,1,1,30,25.74,C
1,1,0,22,61.98,C
1,0,1,65,61.98,C
1,0,1,28,27.72,C
1,0,1,30,0.0,S
1,0,1,46,28.5,S
1,0,1,23,93.5,S
1,0,1,29,66.6,S
1,1,0,22,66.6,S
1,0,1,18,108.9,C
1,1,0,17,108.9,C
1,1,0,30,93.5,S
1,1,1,52,30.5,S
1,0,1,47,52.0,S
1,1,0,56,83.16,C
1,0,1,38,0.0,S
1,1,1,30,39.6,S
1,0,1,22,135.63,C
1,0,1,30,227.52,C
1,1,0,43,211.34,S
1,0,1,31,50.5,S
1,1,1,45,26.55,S
1,0,1,30,50.0,S
1,1,0,33,27.72,C
1,0,1,46,79.2,C
1,0,1,36,40.12,C
1,1,0,33,86.5,S
1,0,1,55,59.4,C
1,1,0,54,59.4,C
1,0,1,33,26.55,S
1,1,1,13,262.38,C
1,1,0,18,262.38,C
1,1,0,21,262.38,C
1,0,1,61,262.38,C
1,1,0,48,262.38,C
1,1,1,30,30.5,S
1,1,0,24,69.3,C
1,1,1,30,26.0,S
1,1,0,35,57.75,C
1,1,0,30,31.0,C
1,1,1,34,26.55,S
1,1,0,40,153.46,S
1,1,1,35,26.29,S
1,0,1,50,55.9,S
1,1,0,39,55.9,S
1,1,1,56,35.5,C
1,1,1,28,35.5,S
1,0,1,56,26.55,S
1,0,1,56,30.7,C
1,0,1,24,60.0,S
1,0,1,30,26.0,S
1,1,0,18,60.0,S
1,1,1,24,82.27,S
1,1,0,23,82.27,S
1,1,1,6,134.5,C
1,1,1,45,134.5,C
1,1,0,40,134.5,C
1,0,1,57,146.52,C
1,1,0,30,146.52,C
1,1,1,32,30.5,C
1,0,1,62,26.55,S
1,1,1,54,55.44,C
1,1,0,43,55.44,C
1,1,0,52,78.27,C
1,0,1,30,27.72,C
1,1,0,62,80.0,C
1,0,1,67,221.78,S
1,0,0,63,221.78,S
1,0,1,61,32.32,S
1,1,0,48,25.93,S
1,1,0,18,79.65,S
1,0,1,52,79.65,S
1,1,0,39,79.65,S
1,1,1,48,52.0,S
1,1,0,30,52.0,S
1,0,1,49,110.88,C
1,1,1,17,110.88,C
1,1,0,39,110.88,C
1,1,0,30,79.2,C
1,1,1,31,28.54,C
1,0,1,40,27.72,C
1,0,1,61,33.5,S
1,0,1,47,34.02,S
1,1,0,35,512.33,C
1,0,1,64,75.25,C
1,1,0,60,75.25,C
1,0,1,60,26.55,S
1,0,1,54,77.29,S
1,0,1,21,77.29,S
1,1,0,55,135.63,C
1,1,0,31,164.87,S
1,0,1,57,164.87,S
1,1,0,45,164.87,S
1,0,1,50,211.5,C
1,0,1,27,211.5,C
1,1,0,50,211.5,C
1,1,0,21,26.55,S
1,0,1,51,61.38,C
1,1,1,21,61.38,C
1,0,1,30,35.0,S
1,1,0,31,134.5,C
1,1,1,30,35.5,S
1,0,1,62,26.55,S
1,1,0,36,135.63,C
2,0,1,30,24.0,C
2,1,0,28,24.0,C
2,0,1,30,13.0,S
2,0,1,18,11.5,S
2,0,1,25,10.5,S
2,0,1,34,26.0,S
2,1,0,36,26.0,S
2,0,1,57,13.0,S
2,0,1,18,11.5,S
2,0,1,23,10.5,S
2,1,0,36,13.0,S
2,0,1,28,10.5,S
2,0,1,51,12.52,S
2,1,1,32,26.0,S
2,1,0,19,26.0,S
2,0,1,28,26.0,S
2,1,1,1,39.0,S
2,1,0,4,39.0,S
2,1,0,12,39.0,S
2,1,0,36,39.0,S
2,1,1,34,13.0,S
2,1,0,19,13.0,S
2,0,1,23,13.0,S
2,0,1,26,13.0,S
2,0,1,42,13.0,S
2,0,1,27,13.0,S
2,1,0,24,13.0,S
2,1,0,15,39.0,S
2,0,1,60,39.0,S
2,1,0,40,39.0,S
2,1,0,20,26.0,S
2,0,1,25,26.0,S
2,1,0,36,13.0,S
2,0,1,25,13.0,S
2,0,1,42,13.0,S
2,1,0,42,13.0,S
2,1,1,1,29.0,S
2,1,1,26,29.0,S
2,1,0,22,29.0,S
2,1,0,35,21.0,S
2,0,1,30,0.0,S
2,0,1,19,13.0,S
2,0,0,44,26.0,S
2,0,1,54,26.0,S
2,0,1,52,13.5,S
2,0,1,37,26.0,S
2,0,0,29,26.0,S
2,1,0,25,30.0,S
2,1,0,45,30.0,S
2,0,1,29,26.0,S
2,1,0,28,26.0,S
2,0,1,29,10.5,S
2,0,1,28,13.0,S
2,1,1,24,10.5,S
2,1,0,8,26.25,S
2,0,1,31,26.25,S
2,1,0,31,26.25,S
2,1,0,22,10.5,S
2,0,0,30,13.0,S
2,0,0,30,21.0,S
2,0,1,21,11.5,S
2,0,1,30,0.0,S
2,1,1,8,36.75,S
2,0,1,18,73.5,S
2,1,0,48,36.75,S
2,1,0,28,13.0,S
2,0,1,32,13.0,S
2,0,1,17,73.5,S
2,0,1,29,27.72,C
2,1,0,24,27.72,C
2,0,1,25,31.5,S
2,0,1,18,73.5,S
2,1,0,18,23.0,S
2,1,0,34,23.0,S
2,0,1,54,26.0,S
2,1,1,8,32.5,S
2,0,1,42,32.5,S
2,1,0,34,32.5,S
2,1,0,27,13.86,C
2,1,0,30,13.86,C
2,0,1,23,13.0,S
2,0,1,21,13.0,S
2,0,1,18,13.0,S
2,0,1,40,26.0,S
2,1,0,29,26.0,S
2,0,1,18,10.5,S
2,0,1,36,13.0,S
2,0,1,30,0.0,S
2,0,0,38,13.0,S
2,0,1,35,26.0,S
2,0,1,38,21.0,S
2,0,1,34,21.0,S
2,1,0,34,13.0,S
2,0,1,16,26.0,S
2,0,1,26,10.5,S
2,0,1,47,10.5,S
2,0,1,21,11.5,S
2,0,1,21,11.5,S
2,0,1,24,13.5,S
2,0,1,24,13.0,S
2,0,1,34,13.0,S
2,0,1,30,13.0,S
2,0,1,52,13.0,S
2,0,1,30,13.0,S
2,1,1,1,14.5,S
2,1,0,24,14.5,S
2,0,1,44,13.0,S
2,1,0,6,33.0,S
2,0,1,28,33.0,S
2,1,1,62,10.5,S
2,0,1,30,10.5,S
2,1,0,7,26.25,S
2,0,1,43,26.25,S
2,1,0,45,26.25,S
2,1,0,24,65.0,S
2,1,0,24,65.0,S
2,0,1,49,65.0,S
2,1,0,48,65.0,S
2,1,0,55,16.0,S
2,0,1,24,73.5,S
2,0,1,32,73.5,S
2,0,1,21,73.5,S
2,0,0,18,13.0,S
2,1,0,20,23.0,S
2,0,1,23,11.5,S
2,0,1,36,13.0,S
2,1,0,54,23.0,S
2,0,1,50,13.0,S
2,0,1,44,26.0,S
2,1,0,29,26.0,S
2,0,1,21,73.5,S
2,1,1,42,13.0,S
2,0,1,63,26.0,S
2,0,0,60,26.0,S
2,0,1,33,12.28,S
2,1,0,17,10.5,S
2,0,1,42,27.0,S
2,1,0,24,27.0,S
2,0,1,47,15.0,S
2,0,1,24,31.5,S
2,0,1,22,31.5,S
2,0,1,32,10.5,S
2,1,0,23,13.79,C
2,0,1,34,26.0,S
2,1,0,24,26.0,S
2,0,0,22,21.0,S
2,1,0,30,12.35,Q
2,0,1,35,12.35,Q
2,1,0,45,13.5,S
2,0,1,57,12.35,Q
2,0,1,30,0.0,S
2,0,1,31,10.5,S
2,0,0,26,26.0,S
2,0,1,30,26.0,S
2,0,1,30,10.71,Q
2,1,0,1,41.58,C
2,1,0,3,41.58,C
2,0,1,25,41.58,C
2,1,0,22,41.58,C
2,1,0,17,12.0,C
2,1,0,30,33.0,S
2,1,0,34,10.5,S
2,0,1,36,12.88,C
2,0,1,24,10.5,S
2,0,1,61,12.35,Q
2,0,1,50,26.0,S
2,1,0,42,26.0,S
2,0,0,57,10.5,S
2,0,1,30,15.05,C
2,1,1,1,37.0,C
2,0,1,31,37.0,C
2,1,0,24,37.0,C
2,0,1,30,15.58,C
2,0,1,30,13.0,S
2,0,1,40,16.0,S
2,0,1,32,13.5,S
2,0,1,30,13.0,S
2,0,1,46,26.0,S
2,1,0,13,19.5,S
2,1,0,41,19.5,S
2,1,1,19,10.5,S
2,0,1,39,13.0,S
2,0,1,48,13.0,S
2,0,1,70,10.5,S
2,0,1,27,13.0,S
2,0,1,54,14.0,S
2,0,1,39,26.0,S
2,0,1,16,10.5,S
2,0,1,62,9.69,Q
2,0,1,32,30.07,C
2,1,0,14,30.07,C
2,1,1,2,26.0,S
2,1,1,3,26.0,S
2,0,1,36,26.0,S
2,0,1,26,13.0,S
2,0,1,19,36.75,S
2,0,1,28,13.5,S
2,1,1,20,13.86,C
2,1,0,29,10.5,S
2,0,1,39,13.0,S
2,1,1,22,10.5,S
2,1,1,30,13.86,C
2,0,1,23,10.5,S
2,1,1,29,13.86,C
2,0,1,28,10.5,S
2,0,1,30,0.0,S
2,1,0,50,26.0,S
2,0,1,19,10.5,S
2,0,1,30,15.05,C
2,0,1,41,13.0,S
2,1,0,21,21.0,S
2,1,0,19,26.0,S
2,0,1,43,21.0,S
2,1,0,32,13.0,S
2,0,1,34,13.0,S
2,1,1,30,12.74,C
2,0,1,27,15.03,C
2,1,0,2,26.0,S
2,1,0,8,26.0,S
2,1,0,33,26.0,S
2,0,1,36,10.5,S
2,0,1,34,21.0,S
2,1,0,30,21.0,S
2,1,0,28,13.0,S
2,0,1,23,15.05,C
2,1,1,1,18.75,S
2,1,1,3,18.75,S
2,1,0,24,18.75,S
2,1,0,50,10.5,S
2,0,1,19,10.5,S
2,1,0,21,10.5,S
2,0,1,26,13.0,S
2,0,1,25,13.0,S
2,0,1,27,26.0,S
2,1,0,25,26.0,S
2,1,0,18,13.0,S
2,1,0,20,36.75,S
2,1,0,30,13.0,S
2,0,1,59,13.5,S
2,1,0,30,12.35,Q
2,0,1,35,10.5,S
2,1,0,40,13.0,S
2,0,1,25,13.0,S
2,0,1,41,15.05,C
2,0,1,25,10.5,S
2,0,1,18,13.0,S
2,0,1,14,65.0,S
2,1,0,50,10.5,S
2,0,1,23,13.0,S
2,1,0,28,12.65,S
2,1,0,27,10.5,S
2,0,1,29,21.0,S
2,0,0,27,21.0,S
2,0,1,40,13.0,S
2,1,0,31,21.0,S
2,0,1,30,21.0,S
2,0,1,23,10.5,S
2,1,0,31,21.0,S
2,0,1,30,0.0,S
2,1,0,12,15.75,S
2,1,0,40,15.75,S
2,1,0,32,13.0,S
2,0,1,27,26.0,S
2,1,0,29,26.0,S
2,1,1,2,23.0,S
2,1,0,4,23.0,S
2,1,0,29,23.0,S
2,1,0,1,27.75,S
2,1,0,5,27.75,S
2,0,1,36,27.75,S
2,1,0,33,27.75,S
2,0,1,66,10.5,S
2,0,1,30,12.88,S
2,1,1,31,13.0,S
2,1,1,30,13.0,S
2,1,0,26,13.5,S
2,0,0,24,13.0,S
3,0,1,42,7.55,S
3,0,1,13,20.25,S
3,0,1,16,20.25,S
3,1,0,35,20.25,S
3,1,0,16,7.65,S
3,1,1,25,7.65,S
3,1,1,20,7.92,S
3,1,0,18,7.23,C
3,0,1,30,7.25,S
3,0,1,26,8.05,S
3,0,0,40,9.48,S
3,1,1,1,9.35,S
3,1,0,18,9.35,S
3,1,1,26,18.79,C
3,0,1,26,7.89,S
3,0,1,20,7.92,S
3,0,1,24,7.05,S
3,0,1,25,7.05,S
3,0,1,35,8.05,S
3,0,1,18,8.3,S
3,0,1,32,22.52,S
3,1,0,19,7.85,S
3,0,1,4,31.28,S
3,0,0,6,31.28,S
3,0,0,2,31.28,S
3,1,0,17,7.92,S
3,0,0,38,7.78,S
3,0,0,9,31.28,S
3,0,0,11,31.28,S
3,0,1,39,31.28,S
3,1,1,27,7.8,S
3,0,1,26,7.78,S
3,0,0,39,31.28,S
3,0,1,20,7.85,S
3,0,1,26,7.9,S
3,0,1,25,17.8,S
3,0,0,18,17.8,S
3,0,1,24,7.78,S
3,0,1,35,7.05,S
3,0,1,5,31.39,S
3,0,1,9,31.39,S
3,1,1,3,31.39,S
3,0,1,13,31.39,S
3,1,0,5,31.39,S
3,0,1,40,31.39,S
3,1,1,23,7.8,S
3,1,0,38,31.39,S
3,1,0,45,7.22,C
3,0,1,21,7.22,C
3,0,1,23,7.05,S
3,0,0,17,14.46,C
3,0,1,30,7.22,C
3,0,1,23,7.85,S
3,1,0,13,7.23,C
3,0,1,20,7.22,C
3,0,1,32,15.85,S
3,1,0,33,15.85,S
3,1,0,1,19.26,C
3,1,0,1,19.26,C
3,1,0,5,19.26,C
3,1,0,24,19.26,C
3,1,0,18,8.05,S
3,0,1,40,7.22,C
3,0,1,26,7.9,S
3,1,1,20,7.23,C
3,0,0,18,14.45,C
3,0,0,45,14.45,C
3,0,0,27,7.88,Q
3,0,1,22,8.05,S
3,0,1,19,8.05,S
3,0,1,26,7.78,S
3,0,1,22,9.35,S
3,0,1,30,7.23,C
3,0,1,20,4.01,C
3,1,1,32,56.5,S
3,0,1,21,7.78,S
3,0,1,18,7.75,S
3,0,1,26,7.9,S
3,0,1,6,15.25,C
3,0,0,9,15.25,C
3,0,1,30,7.22,C
3,0,0,30,15.25,C
3,0,0,30,7.75,Q
3,0,1,40,15.5,Q
3,0,0,32,15.5,Q
3,0,1,21,16.1,S
3,1,0,22,7.72,Q
3,0,0,20,7.85,S
3,0,1,29,7.05,S
3,0,1,22,7.25,S
3,0,1,22,7.8,S
3,0,1,35,8.05,S
3,0,0,18,7.28,Q
3,1,1,21,7.82,Q
3,0,1,19,6.75,Q
3,0,0,18,7.88,Q
3,0,0,21,8.66,S
3,0,0,30,8.66,S
3,0,1,18,8.66,S
3,0,1,38,8.66,S
3,0,1,17,8.66,S
3,0,1,17,8.66,S
3,0,0,21,7.75,Q
3,0,1,21,7.75,Q
3,0,1,21,8.05,S
3,0,1,30,14.46,C
3,0,0,30,14.46,C
3,0,1,28,7.8,S
3,0,1,24,7.85,S
3,1,0,16,7.75,Q
3,0,0,37,7.75,Q
3,0,1,28,7.25,S
3,0,1,24,8.05,S
3,0,1,21,7.73,Q
3,1,1,32,56.5,S
3,0,1,29,8.05,S
3,0,1,26,14.45,C
3,0,1,18,14.45,C
3,0,1,20,7.05,S
3,1,1,18,8.05,S
3,0,1,24,7.25,Q
3,0,1,36,7.5,S
3,0,1,24,7.5,S
3,0,1,31,7.73,Q
3,0,1,31,7.75,Q
3,1,0,22,7.75,Q
3,0,0,30,7.63,Q
3,0,1,70,7.75,Q
3,0,1,43,8.05,S
3,0,1,35,7.9,S
3,0,1,27,7.9,S
3,0,1,19,7.9,S
3,0,1,30,8.05,S
3,1,1,9,15.9,S
3,1,1,3,15.9,S
3,1,0,36,15.9,S
3,0,1,59,7.25,S
3,0,1,19,8.16,S
3,1,0,17,16.1,S
3,0,1,44,16.1,S
3,0,1,17,8.66,S
3,0,1,22,7.22,C
3,1,1,45,8.05,S
3,0,0,22,10.52,S
3,0,1,19,10.17,S
3,1,0,30,6.95,Q
3,1,1,29,7.75,Q
3,0,1,0,14.4,S
3,0,1,34,14.4,S
3,0,0,28,14.4,S
3,0,1,27,7.9,S
3,0,1,25,7.9,S
3,0,1,24,24.15,S
3,0,1,22,8.05,S
3,0,1,21,24.15,S
3,0,1,17,8.05,S
3,0,1,30,16.1,S
3,1,0,30,16.1,S
3,1,1,36,17.4,S
3,1,0,36,17.4,S
3,1,1,30,9.5,S
3,0,1,16,9.5,S
3,1,1,1,20.58,S
3,1,0,0,20.58,S
3,0,1,26,20.58,S
3,1,0,33,20.58,S
3,0,1,25,7.9,S
3,0,1,30,7.9,S
3,0,1,30,7.9,S
3,0,1,22,7.25,S
3,0,1,36,7.25,S
3,1,0,19,7.88,Q
3,0,1,17,7.9,S
3,0,1,42,8.66,S
3,0,1,43,7.9,S
3,0,1,30,7.23,C
3,0,1,32,7.75,Q
3,1,1,19,8.05,S
3,1,0,30,12.48,S
3,0,0,24,7.75,Q
3,1,0,23,8.05,S
3,0,1,33,7.9,C
3,0,1,65,7.75,Q
3,1,1,24,7.55,S
3,0,1,23,13.9,S
3,1,0,22,13.9,S
3,0,1,18,7.78,S
3,0,1,16,7.78,S
3,0,1,45,6.98,S
3,0,1,30,7.22,C
3,0,1,39,7.23,C
3,0,1,17,7.23,C
3,0,1,15,7.23,C
3,0,1,47,7.25,S
3,1,0,5,12.48,S
3,0,1,30,7.22,C
3,0,1,40,15.1,S
3,0,1,40,7.75,Q
3,1,1,30,7.05,S
3,0,1,18,7.8,S
3,0,0,30,7.75,Q
3,0,1,30,7.75,Q
3,0,1,30,6.95,Q
3,0,1,26,7.88,Q
3,0,1,30,7.75,Q
3,1,1,30,56.5,S
3,0,0,21,34.38,S
3,0,0,9,34.38,S
3,0,1,30,8.05,S
3,0,1,18,34.38,S
3,0,1,16,34.38,S
3,0,0,48,34.38,S
3,0,1,30,7.75,Q
3,0,1,30,7.25,S
3,0,1,25,7.74,Q
3,0,1,30,14.5,S
3,0,1,30,7.9,C
3,0,1,22,8.05,S
3,1,0,16,7.73,Q
3,1,0,30,7.75,Q
3,1,1,9,20.52,S
3,0,1,33,20.52,S
3,0,1,41,7.85,S
3,1,0,31,20.52,S
3,0,1,38,7.05,S
3,0,1,9,46.9,S
3,0,1,1,46.9,S
3,0,1,11,46.9,S
3,0,0,10,46.9,S
3,0,0,16,46.9,S
3,0,1,14,46.9,S
3,0,1,40,46.9,S
3,0,0,43,46.9,S
3,0,1,51,8.05,S
3,0,1,32,8.36,S
3,0,1,30,8.05,S
3,0,1,20,9.85,S
3,0,1,37,7.92,S
3,0,1,28,7.92,S
3,0,1,19,7.78,S
3,0,0,24,8.85,S
3,0,0,17,7.73,Q
3,0,1,30,19.97,S
3,0,1,30,19.97,S
3,0,1,28,15.85,S
3,1,0,24,15.85,S
3,0,1,20,9.5,S
3,0,1,24,7.23,C
3,0,1,41,14.11,S
3,0,1,26,7.85,S
3,0,1,21,7.85,S
3,1,0,45,14.11,S
3,0,0,30,7.55,S
3,0,1,25,7.25,S
3,0,1,30,6.86,Q
3,0,1,11,18.79,C
3,1,0,30,7.75,Q
3,1,1,27,6.98,S
3,1,1,30,56.5,S
3,0,0,18,6.75,Q
3,1,0,26,7.92,S
3,0,0,23,7.92,S
3,1,0,22,8.96,S
3,0,1,28,7.9,S
3,0,0,28,7.78,S
3,0,0,30,7.75,Q
3,1,0,2,12.29,S
3,1,0,22,12.29,S
3,0,1,43,6.45,S
3,0,1,28,22.52,S
3,1,0,27,7.92,S
3,0,1,30,7.75,Q
3,1,0,30,8.05,S
3,0,1,42,7.65,S
3,1,1,30,7.89,S
3,0,1,30,7.23,C
3,0,1,30,7.9,S
3,0,0,27,7.92,S
3,0,0,25,7.92,S
3,0,1,30,7.9,S
3,1,1,29,7.9,C
3,1,1,21,7.8,S
3,0,1,30,7.05,S
3,0,1,20,7.85,S
3,0,1,48,7.85,S
3,0,1,17,7.05,S
3,1,0,30,7.75,Q
3,1,1,30,8.11,S
3,0,1,34,6.5,S
3,1,1,26,7.78,S
3,0,1,22,7.8,S
3,0,1,33,8.65,S
3,0,1,31,7.78,S
3,0,1,29,7.85,S
3,1,1,4,11.13,S
3,1,0,1,11.13,S
3,0,1,49,0.0,S
3,0,1,33,7.78,S
3,0,1,19,0.0,S
3,1,0,27,11.13,S
3,0,1,30,23.45,S
3,0,0,30,23.45,S
3,0,1,30,23.45,S
3,0,0,30,23.45,S
3,0,1,23,7.9,S
3,1,1,32,7.85,S
3,0,1,27,7.85,S
3,0,0,20,9.82,S
3,0,0,21,9.82,S
3,1,1,32,7.92,S
3,0,1,17,7.12,S
3,0,1,21,8.43,S
3,0,1,30,7.9,S
3,1,1,21,7.8,S
3,0,1,33,7.85,S
3,0,1,22,7.52,S
3,1,0,4,13.42,C
3,1,1,39,13.42,C
3,0,1,30,7.23,C
3,0,1,18,7.23,C
3,0,1,30,7.75,Q
3,0,1,30,7.25,S
3,1,0,30,7.75,Q
3,1,0,30,7.75,Q
3,0,1,34,7.83,Q
3,0,1,44,8.05,S
3,1,1,30,7.75,Q
3,0,1,30,14.45,C
3,0,0,30,14.45,C
3,0,1,30,7.75,Q
3,0,1,30,7.75,Q
3,0,1,30,7.74,Q
3,0,0,22,8.66,S
3,0,1,26,8.66,S
3,1,0,4,22.02,S
3,1,1,29,22.02,S
3,1,0,26,22.02,S
3,0,0,1,12.18,S
3,0,1,18,7.85,S
3,0,0,36,12.18,S
3,0,1,30,7.9,C
3,1,1,25,7.23,C
3,0,1,30,7.22,C
3,0,0,37,9.59,S
3,0,1,30,7.9,S
3,1,1,30,56.5,S
3,0,1,30,56.5,S
3,1,0,22,7.25,S
3,0,1,30,7.75,Q
3,1,1,26,56.5,S
3,0,1,29,9.48,S
3,0,1,29,7.78,S
3,0,1,22,7.78,S
3,1,1,22,7.22,C
3,0,1,30,25.47,S
3,0,0,30,25.47,S
3,0,0,30,25.47,S
3,0,0,30,25.47,S
3,0,0,30,25.47,S
3,0,1,32,7.92,S
3,0,1,34,6.44,C
3,0,0,30,15.5,Q
3,0,1,30,15.5,Q
3,0,1,36,0.0,S
3,0,1,39,24.15,S
3,0,1,24,9.5,S
3,0,0,25,7.78,S
3,0,0,45,7.75,S
3,0,1,36,15.55,S
3,0,0,30,15.55,S
3,1,1,20,7.92,S
3,0,1,30,7.88,Q
3,0,1,28,56.5,S
3,0,1,30,7.55,S
3,0,1,30,16.1,S
3,0,0,26,16.1,S
3,0,1,30,7.88,S
3,0,1,20,7.25,S
3,1,1,27,8.66,S
3,0,1,51,7.05,S
3,1,0,23,7.85,S
3,1,1,32,7.58,S
3,0,1,30,7.9,S
3,0,1,30,7.55,S
3,1,0,30,7.75,Q
3,1,1,24,7.14,S
3,0,1,22,7.12,S
3,0,0,30,7.88,Q
3,0,1,30,7.75,Q
3,0,1,30,8.05,S
3,0,1,29,7.92,S
3,1,1,30,7.23,C
